meter_number,block_load_count,daily_load,push_event_count,pull_event_count,prev_month_billing_data,record_date
SE10000129,12,0,0,0,1,2024-09-16
SE10000130,16,0,0,0,1,2024-09-16
SE10000002,16,0,0,0,1,2024-09-16
SE10000001,20,0,0,0,1,2024-09-16
SE10000131,16,0,0,0,1,2024-09-16
SE10000132,24,0,0,0,1,2024-09-16
SE10000133,24,0,0,0,1,2024-09-16
SE10000195,24,0,0,0,1,2024-09-16
SE10000190,20,0,0,0,1,2024-09-16
SE10000192,12,0,0,0,1,2024-09-16
SE10000194,24,0,0,0,1,2024-09-16
SE10000193,24,0,0,0,1,2024-09-16
SE10000112,24,0,0,0,1,2024-09-16
SE10000111,20,0,0,0,1,2024-09-16
SE10000003,20,0,0,0,1,2024-09-16
SE10000148,9,0,0,0,1,2024-09-16
SE10000114,24,0,0,0,1,2024-09-16
SE10000115,9,0,0,0,1,2024-09-16
SE10000006,24,0,0,0,1,2024-09-16
SE10000191,20,0,0,0,1,2024-09-16
SE10000007,20,0,0,0,1,2024-09-16
SE10000012,20,0,0,0,1,2024-09-16
SE10000149,0,0,0,0,1,2024-09-16
SE10000113,24,0,0,0,1,2024-09-16
SE10000152,10,0,0,0,1,2024-09-16
SE10000150,20,0,0,0,1,2024-09-16
SE10000018,24,0,0,0,1,2024-09-16
SE10000174,10,0,0,0,1,2024-09-16
SE10000019,24,0,0,0,1,2024-09-16
SE10000017,24,0,0,0,1,2024-09-16
SE10000173,24,0,0,0,1,2024-09-16
SE10000175,12,0,0,0,1,2024-09-16
SE10000138,12,0,0,0,1,2024-09-16
SE10000107,24,0,0,0,1,2024-09-16
SE10000106,20,0,0,0,1,2024-09-16
SE10000139,16,0,0,0,1,2024-09-16
SE10000140,16,0,0,0,1,2024-09-16
SE10000020,20,0,0,0,1,2024-09-16
SE10000014,20,0,0,0,1,2024-09-16
SE10000016,24,0,0,0,1,2024-09-16
SE10000013,24,0,0,0,1,2024-09-16
SE10000021,20,0,0,0,1,2024-09-16
SE10000015,20,0,0,0,1,2024-09-16
SE10000183,16,0,0,0,1,2024-09-16
SE10000200,20,0,0,0,1,2024-09-16
SE10000185,20,0,0,0,1,2024-09-16
SE10000189,24,0,0,0,1,2024-09-16
SE10000188,20,0,0,0,1,2024-09-16
SE10000187,20,0,0,0,1,2024-09-16
SE10000186,24,0,0,0,1,2024-09-16
SE10000022,16,0,0,0,1,2024-09-16
SE10000172,24,0,0,0,1,2024-09-16
SE10000023,16,0,0,0,1,2024-09-16
SE10000026,12,0,0,0,1,2024-09-16
SE10000110,24,0,0,0,1,2024-09-16
SE10000108,20,0,0,0,1,2024-09-16
